dateTime,windAngle,WAReference,windSpeed,WSUnits,status,checkSum
2020-08-12 00:22:04.639185,282.0,R,1.4,N,A,2E
2020-08-12 00:22:08.171516,287.2,R,1.3,N,A,2E
2020-08-12 00:22:11.639848,285.3,R,1.6,N,A,28
2020-08-12 00:22:15.172283,286.2,R,1.6,N,A,2A
2020-08-12 00:22:18.640408,278.1,R,1.4,N,A,2A
2020-08-12 00:22:22.172743,282.9,R,1.3,N,A,20
2020-08-12 00:22:25.639911,289.4,R,1.4,N,A,21
2020-08-12 00:22:29.173526,295.8,R,1.3,N,A,27
2020-08-12 00:22:32.640398,291.3,R,1.5,N,A,2E
2020-08-12 00:22:36.173968,290.3,R,1.5,N,A,2F
2020-08-12 00:22:39.641080,289.1,R,1.4,N,A,24
2020-08-12 00:22:43.174736,292.3,R,1.4,N,A,2C
2020-08-12 00:22:46.641672,291.0,R,1.4,N,A,2C
2020-08-12 00:22:50.174078,289.1,R,1.6,N,A,26
2020-08-12 00:22:53.642426,285.0,R,1.7,N,A,2A
2020-08-12 00:22:57.174716,286.5,R,1.8,N,A,23
2020-08-12 00:23:00.642885,284.2,R,1.4,N,A,2A
2020-08-12 00:23:04.175291,283.3,R,1.2,N,A,2A
2020-08-12 00:23:07.643619,289.4,R,1.4,N,A,21
2020-08-12 00:23:11.175915,287.5,R,1.5,N,A,2F
2020-08-12 00:23:14.642841,287.9,R,1.5,N,A,23
2020-08-12 00:23:18.176524,289.9,R,1.3,N,A,2B
2020-08-12 00:23:21.643586,281.9,R,1.5,N,A,25
2020-08-12 00:23:25.177169,277.5,R,1.6,N,A,23
2020-08-12 00:23:28.644069,286.2,R,1.6,N,A,2A
2020-08-12 00:23:32.176508,285.5,R,1.4,N,A,2C
2020-08-12 00:23:35.644830,287.8,R,1.4,N,A,23
2020-08-12 00:23:39.177137,271.3,R,1.7,N,A,22
2020-08-12 00:23:42.645424,261.7,R,1.6,N,A,26
2020-08-12 00:23:46.177739,262.3,R,1.8,N,A,2F
2020-08-12 00:23:49.646069,284.0,R,1.8,N,A,24
2020-08-12 00:23:53.177984,287.9,R,1.4,N,A,22
2020-08-12 00:23:56.182183,256.5,R,1.3,N,A,25
2020-08-12 00:23:59.650334,282.7,R,1.6,N,A,2B
2020-08-12 00:24:03.182764,281.1,R,1.7,N,A,2F
2020-08-12 00:24:06.183535,271.3,R,1.5,N,A,20
2020-08-12 00:24:09.651706,277.5,R,1.6,N,A,23
2020-08-12 00:24:13.183989,271.3,R,1.5,N,A,20
2020-08-12 00:24:16.651054,280.5,R,1.3,N,A,2E
2020-08-12 00:24:20.184739,281.2,R,1.2,N,A,29
2020-08-12 00:24:23.651631,293.0,R,1.4,N,A,2E
